Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode,CognitiveComplexity,HalsteadMaintainIdx
File,"encrypted_string.h",101,4,65,0,17,,,,2,,,,,,12,,,,,,,,,,,,,,236,32,91,0,0,68,24,23,,48,59,35,0,28,,2,,1,,"0,75",17,0,0,"0,00","0,00",,"0,00"
File,"encrypted_string_v2.h",10,1,6,0,1,,,,3,,,,,,18,,,,,,,,,,,,,,389,55,138,81,58,88,58,60,,74,85,53,0,38,,4,,2,,"0,64",25,0,0,"0,00","0,00",,"0,00"
File,"encrypted_string_v3.h",11,0,6,0,2,,,,2,,,,,,11,,,,,,,,,,,,,,229,36,96,46,37,37,40,25,,48,65,36,0,29,,5,,2,,"0,39",18,0,0,"0,00","0,00",,"0,00"
File,"encrypted_string_v4.h",9,1,8,0,2,,,,2,,,,,,9,,,,,,,,,,,,,,175,34,93,60,55,39,0,11,,54,66,49,0,18,,4,,1,,"0,42",16,0,0,"0,00","0,00",,"0,00"
Function,"main",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,4,0,0,0,4,4,4,0,0,4,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Class Template,"strenc::DecryptGuard",7,0,5,0,1,0,0,0,,0,0,,,,,7,3,3,0,0,7,7,2,0,1,0,6,,50,7,33,11,9,0,7,3,,,22,12,0,10,,2,0,1,67,"0,00",7,,,,,,
Explicit Public Function,"strenc::DecryptGuard::DecryptGuard",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21,1,10,5,4,0,7,3,4,4,7,3,0,4,2,,,1,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Public Const Function,"strenc::DecryptGuard::c_str",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Private Function,"strenc::DecryptGuard::secure_zero",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,2,2,0,0,0,1,3,4,1,0,3,2,,,1,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Public Const Function,"strenc::DecryptGuard::string",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Function,"strenc::DecryptGuard::~DecryptGuard",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,0,0,2,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Struct Template,"strenc::EncryptedString",10,0,4,0,1,0,1,0,,0,0,,,,,4,3,0,0,3,4,4,3,0,0,0,4,,51,6,23,6,9,0,16,6,,,20,12,0,8,,2,0,1,58,"0,00",5,,,,,,
Explicit Public Function,"strenc::EncryptedString::EncryptedString",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,1,6,2,4,0,7,3,4,3,7,4,0,3,2,,,1,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Public Const Function,"strenc::EncryptedString::data",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::EncryptedString::is_obfuscated_against",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,5,1,3,0,9,3,1,3,3,0,0,3,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::EncryptedString::size",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Function,"strenc::constexpr_hash",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,4,5,0,0,0,1,6,7,3,0,4,2,,,1,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Function,"strenc::default_compile_unit_key",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,2,12,10,7,0,0,0,3,7,7,6,0,5,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Function,"strenc::rotl32",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,2,0,0,0,1,2,2,1,0,1,2,,,0,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Class Template,"strenc::v2::DecryptGuardV2",7,1,5,0,2,0,1,0,,0,0,,,,,8,4,4,0,0,8,8,3,0,1,0,7,,57,10,40,14,13,0,4,3,,,29,16,0,13,,4,0,2,72,"0,00",9,,,,,,
Explicit Public Function,"strenc::v2::DecryptGuardV2::DecryptGuardV2",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,1,8,4,3,0,4,3,9,2,5,2,0,3,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::v2::DecryptGuardV2::c_str",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::v2::DecryptGuardV2::runtime_key",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Private Function,"strenc::v2::DecryptGuardV2::secure_zero",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,2,10,5,6,0,0,0,1,8,10,4,0,6,4,,,2,,"0,00",,0,0,"0,00","0,00",5,"0,00"
Public Const Function,"strenc::v2::DecryptGuardV2::string",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Function,"strenc::v2::DecryptGuardV2::~DecryptGuardV2",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,0,0,3,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Struct,"strenc::v2::DualKeys",0,0,0,0,0,0,0,0,,0,0,,,,,4,2,0,0,2,0,0,0,0,0,0,0,,4,0,4,1,0,0,0,0,,,2,2,0,0,,0,0,0,0,"0,00",0,,,,,,
Struct Template,"strenc::v2::EncryptedStringV2",9,0,4,0,1,0,2,0,,0,0,,,,,4,4,0,0,4,4,4,3,0,0,0,4,,48,6,22,6,7,0,14,6,,,20,14,0,6,,2,0,1,63,"0,00",5,,,,,,
Explicit Public Function,"strenc::v2::EncryptedStringV2::EncryptedStringV2",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,1,6,2,4,0,8,3,7,3,8,5,0,3,2,,,1,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Public Const Function,"strenc::v2::EncryptedStringV2::check_integrity",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,3,1,1,0,6,3,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::v2::EncryptedStringV2::data",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Public Const Function,"strenc::v2::EncryptedStringV2::size",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,0,0,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Function,"strenc::v2::decrypt_byte",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,2,11,8,5,0,4,3,2,5,5,3,0,3,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Function,"strenc::v2::default_compile_unit_keys",,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,3,15,13,10,0,0,0,5,10,10,9,0,5,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Function,"strenc::v2::derive_runtime_key",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,0,3,1,1,0,19,3,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Function,"strenc::v2::encrypt_byte",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,2,11,8,5,0,4,3,2,5,5,3,0,3,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
Function,"strenc::v2::fnv1a_hash",,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,4,5,0,0,0,1,6,7,3,0,4,2,,,1,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Function,"strenc::v2::rotl32",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,2,2,0,0,0,1,2,2,1,0,1,2,,,0,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Function,"strenc::v2::rotr32",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,2,0,0,0,1,2,2,1,0,1,2,,,0,,"0,00",,0,0,"0,00","0,00",1,"0,00"
Function,"strenc::v2::verify_self_integrity",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,3,1,1,0,2,3,1,1,1,0,0,1,1,,,0,,"0,00",,0,0,"0,00","0,00",0,"0,00"
